물품식별번호,중분류그룹번호,영문물품설명,영문카테고리명,카테고리명,대분류그룹번호,영문제작홈페이지주소,입력일자,영문업체설명
25447353,202506000000,"High security paper shredder
we have various products line.
This product is one of the high security grade paper shredder.
Grade : P7
Throat Width : 230mm
Sheet Capacity : 7~8
Chip size : 1x5mm
Chip Box Capacity : 52L
Power Consumpton : 400
Dimension : 420x400x750",Office Supplies,사무 기기,201508000000,https://j-ustech.com/,2021-10-12,"Hello  we are a shredder manufacture company.
we have really various item line including Hard Disk shredder paper shredder 
we actually manufacture and export various shredder to other country.
so we offer the shredder that is high levels of security.
And we already got Procurement Service Excellent product, Patented product, Enviromentally Friendly Office Equipment,etc.. many certificate.
So we usually supply to the Blue House,Government,US Army,Army,School,bank etc..in Korea"
25652925,202506000000,"A water tone-up sunscreen with a moisturizing formula that is quickly absorbed with a silky finish. It subtly corrects skin tone through its green color base with a natural, bright look.",Beauty,미용 용품,201508000000,,2021-10-12,"ACEFARM INC. is an eco-friendly company that combines operating an aloe farm of approximately 26,500㎡ in the pristine surroundings of Mungyeong, Gyeongsangbuk-do, and developing food and cosmetics using saponin-rich Aloe Saponaria Gel, derived from the aloe we’ve carefully cultivated. We value sustainable business and create premium products using only the highest quality ingredients, for a brand that our customers can trust."
25652928,202506000000,"SUPERFUL VEGI GLOW BRIGHTENING CREAM
A 5 in 1 multi-effect brightening cream filled with moisturizing ingredients that are delivered deep into the skin, with a sherbet formula that melts the moment it touches the skin’s surface.",Beauty,미용 용품,201508000000,,2021-10-12,"ACEFARM INC. is an eco-friendly company that combines operating an aloe farm of approximately 26,500㎡ in the pristine surroundings of Mungyeong, Gyeongsangbuk-do, and developing food and cosmetics using saponin-rich Aloe Saponaria Gel, derived from the aloe we’ve carefully cultivated. We value sustainable business and create premium products using only the highest quality ingredients, for a brand that our customers can trust."
20832333,202506000000,Fresh and healthy Korean Mungyeong Apple 100%,Food & Beverage,식음료,201508000000,,2021-10-12,"ACEFARM INC. is an eco-friendly company that combines operating an aloe farm of approximately 26,500㎡ in the pristine surroundings of Mungyeong, Gyeongsangbuk-do, and developing food and cosmetics using saponin-rich Aloe Saponaria Gel, derived from the aloe we’ve carefully cultivated. We value sustainable business and create premium products using only the highest quality ingredients, for a brand that our customers can trust."
25682408,202506000000,"Blended 100% Korean Hovenia fruit extract and  solomon's seal extract.
Good for liver function enhancement, fatigue recovery and antioxidant effect. 
Caffeine-free, healthy drink, and easy portable stick packaging",Food & Beverage,식음료,201508000000,,2021-10-12,"ACEFARM INC. is an eco-friendly company that combines operating an aloe farm of approximately 26,500㎡ in the pristine surroundings of Mungyeong, Gyeongsangbuk-do, and developing food and cosmetics using saponin-rich Aloe Saponaria Gel, derived from the aloe we’ve carefully cultivated. We value sustainable business and create premium products using only the highest quality ingredients, for a brand that our customers can trust."
25287159,202506000000,"A collagen jelly that easily provides the nutrients of organically grown aloe and 100% Korean 5-berries.
Efficacy: Strengthening immunity, improving digestion, improving blood circulation, improving aging skin and skin health
Direct cultivation-free pesticides Aloe gel, Mungyeong Omija, low molecular collagen of less than 800Da 
Healthy 5 ZERO (Trans fats, Saturated fats, Cholesterol, Artificial pigments, preservatives)
Fresh and sweet green grape flavored. Delicious daily inner beauty product
Convenient easy-cut, easy to eat of stick jelly type
* 1case = 18g x 14ea",Food & Beverage,식음료,201508000000,,2023-04-03,"ACEFARM INC. is an eco-friendly company that combines operating an aloe farm of approximately 26,500㎡ in the pristine surroundings of Mungyeong, Gyeongsangbuk-do, and developing food and cosmetics using saponin-rich Aloe Saponaria Gel, derived from the aloe we’ve carefully cultivated. We value sustainable business and create premium products using only the highest quality ingredients, for a brand that our customers can trust."
24877059,202506000000,"- air sterilizer
1) Areas of use  educational institutions, public institutions, hospitals, hotels, airports, etc. all places where an unspecified number of people gather
2) Characteristics
(1) Made of lightweight, sturdy aluminum casing
(2) Adoption","HVAC(Heating, Ventilation, and Air Conditioning) Equipment",냉난방 환기 장치,201508000000,https://www.evertree.kr/index_en.php,2023-04-03,"""Life-enhancing Healthcare Devices""
Evertree Co., Ltd. was established in 2011, driven by a shared vision of creating a world
where everyone can enjoy a safe and enjoyable life. Our journey began in the healthcare industry
with the development of a book sanitizers in 2011. Since then, we have expanded our product line
to include air sterilizer and deodorizers, which are now exported to over 30 countries worldwide."
23760781,202506000000,"""Meet the world's first artificial intelligence-based L1 charging outlet.""
○ Economical Installation
 - Up to 1/10th the cost of installation compared to conventional electric vehicle chargers
 - Compact size for any environment
○ Safety Comes First
 - Maximizes the benefits of low charging speed
  · Battery protection and extended life
  · Safe charging environment
○ Neural-Network based electrical load dis-aggregation technology for fraud detection
 - World’s first AI based electric signature recognition technology
  · Charges by separating the electric vehicle load form the other load
  · Separates billing for EV charging and different electricity usages
○ Eco-friendly and sustainable chargers
 - Minimizes Standby Power
  · Standby Power less than 1.5W
 - Green Technology and Green Product Certification
 - Made by Recycled PC, AL","Cables, Electric Wires",전선,201508000000,,2016-01-21,"""More Powerful Electric Vehicle Charging Service.""
Starkoff, together with it's members, is creating a convenient world of charging electric cars anytime, anywhere.
Starcorp provides safe and convenient electric vehicle charging services anytime, anywhere.The electric vehicle market will also grow rapidly, and Starcorp plans to provide more differentiated technologies and services even faster."
24702001,202506000000,"“Experience the fastest AC Charger with ChargePro”
○ Optimal cost to instal and operate
 - Minimizes TCO(Total Cost of Ownership) including deployment, operation and maintenance
 - Integrated management of activating, operating, and management from the installation to service stage
○ More competitive ChargePro
 - Safety Comes first
  · Controls charging speed when safety is concerned due to any abnormality such as overcurrent or high pressure
  · IP55 Level for safe outdoor operation
 - Easy Charging : Capacity Doubling
  · Supports 2 cables in 1 charger
  · Supports Smart Charging
○ Eco-friendly and sustainable chargers
 - Minimizes Standby Power
  · Standby Power less than 1.5W
 - Green Technology and Green Product Certification
 - Made by Recycled PC, AL","Batteries, ESS, EMS","배터리, 신재생 에너지(풍력, 태양광 등)",201508000000,,2018-01-16,"""More Powerful Electric Vehicle Charging Service.""
Starkoff, together with it's members, is creating a convenient world of charging electric cars anytime, anywhere.
Starcorp provides safe and convenient electric vehicle charging services anytime, anywhere.The electric vehicle market will also grow rapidly, and Starcorp plans to provide more differentiated technologies and services even faster."
25149111,202506000000,"“Experience the fastest AC Charger with ChargePro”
○ Optimal cost to instal and operate
 - Minimizes TCO(Total Cost of Ownership) including deployment, operation and maintenance
 - Integrated management of activating, operating, and management from the installation to service stage
○ More competitive ChargePro
 - Safety Comes first
  · Controls charging speed when safety is concerned due to any abnormality such as overcurrent or high pressure
  · IP55 Level for safe outdoor operation
 - Easy Charging : Capacity Doubling
  · Supports 2 cables in 1 charger
  · Supports Smart Charging
○ Eco-friendly and sustainable chargers
 - Minimizes Standby Power
  · Standby Power less than 1.5W
 - Green Technology and Green Product Certification
 - Made by Recycled PC, AL","Batteries, ESS, EMS","배터리, 신재생 에너지(풍력, 태양광 등)",201508000000,,2016-01-21,"""More Powerful Electric Vehicle Charging Service.""
Starkoff, together with it's members, is creating a convenient world of charging electric cars anytime, anywhere.
Starcorp provides safe and convenient electric vehicle charging services anytime, anywhere.The electric vehicle market will also grow rapidly, and Starcorp plans to provide more differentiated technologies and services even faster."
23634078,202506000000,"Name _SDS-0811
Attachment parts_H5000, One lamp+walking
material_Stainless steel
option_lamp / ballast / base anchor / banner hanger/ base cover / decoration
Allowable number of attachment parts_3 pcs
Attachment parts material_Stainless steel
Attachment part diameter_Φ76.3×D2×H1500/2000
Surface treatment_Polish or Paint
Top pole diameter_Φ127×D3×H7000
Bottom pole diameter_Φ216.3×D3×H3000","Lighting, LED, Special lightings","LED, 조명 기기",201508000000,http://www.sungdongtech.com,2024-09-25,"we’re sungdong Tech co.,Ltd.
We have the know-how and passion to manufacture anything that can be made of metal, and our main products are industrial cases, traffic monitoring camera POLE, solar streetlights, LED streetlights, steel structures, various mechanical parts and covers.By building outstanding technology know-how and securing industry-leading processing professinals and we will continue to develop it in a more creative manner to satisfy our customers."
23634070,202506000000,"Name _SDS-0511
Attachment parts_H5000, One lamp+walking
material_Stainless steel
option_lamp / ballast / base anchor / banner hanger/ base cover / decoration
Allowable number of attachment parts_3 pcs
Attachment parts material_Stainless steel
Attachment part diameter_Φ76.3×D2×H1500/2000
Surface treatment_Polish or Paint
Top pole diameter_Φ127×D3×H7000
Bottom pole diameter_Φ216.3×D3×H3000","Lighting, LED, Special lightings","LED, 조명 기기",201508000000,http://www.sungdongtech.com,2024-09-25,"we’re sungdong Tech co.,Ltd.
We have the know-how and passion to manufacture anything that can be made of metal, and our main products are industrial cases, traffic monitoring camera POLE, solar streetlights, LED streetlights, steel structures, various mechanical parts and covers.By building outstanding technology know-how and securing industry-leading processing professinals and we will continue to develop it in a more creative manner to satisfy our customers."
23634072,202506000000,"Name _SDS-0411
Attachment parts_H5000, One lamp
material_Stainless steel
option_lamp / ballast / base anchor / banner hanger/ base cover / decoration
Allowable number of attachment parts_3 pcs
Attachment parts material_Stainless steel
Attachment part diameter_Φ42.7×D1.5×H1000
Surface treatment_Polish or Paint
Top pole diameter_Φ101.6×D1.5×H2500
Bottom pole diameter_Φ165.2×D2×H1500","Lighting, LED, Special lightings","LED, 조명 기기",201508000000,http://www.sungdongtech.com,2024-09-25,"we’re sungdong Tech co.,Ltd.
We have the know-how and passion to manufacture anything that can be made of metal, and our main products are industrial cases, traffic monitoring camera POLE, solar streetlights, LED streetlights, steel structures, various mechanical parts and covers.By building outstanding technology know-how and securing industry-leading processing professinals and we will continue to develop it in a more creative manner to satisfy our customers."
23628482,202506000000,"Solar Streetlamp SD-LISS-01
> Dimensions 40W, 5m.
> Parts/materials of street lamps: LED lamp, lamp pole, solar module, lithium ion, controller, etc
> Material or specifications of parts/materials
- Material or specification of LED lamp: LED, 40W, security light, TCN-550-A-1 / Quantity: 1
- Material or specification of kerosene: STS304_165.2_2t / Quantity: 1 ea
